,id,address,coord,district
599,26592,"город Москва, Ленинский проспект, дом 68/10",37.545833 55.689136,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
600,26290,"город Москва, Ленинский проспект, дом 68/10",37.545833 55.689136,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
601,24856,"город Москва, Ленинский проспект, дом 68/10",37.545833 55.689136,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
602,156524,"город Москва, Ленинский проспект, дом 82/2",37.53349 55.680763,"Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
603,24612,"город Москва, Ленинский проспект, дом 87",37.533742 55.679346,"Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
604,156525,"город Москва, Ленинский проспект, дом 91",37.529789 55.676646,"Россия, Москва, Юго-Западный административный округ, Ломоносовский район, 16-й квартал"
605,58505,"город Москва, Ленинский проспект, дом 95",37.525863 55.673976,"Россия, Москва, Юго-Западный административный округ, Ломоносовский район, 16-й квартал"
606,23925,"город Москва, Ленинский проспект, дом 99",37.518758 55.668635,"Россия, Москва, Юго-Западный административный округ, Обручевский район, 37-й квартал"
607,83265,"город Москва, Ленинский проспект, дом 99",37.518758 55.668635,"Россия, Москва, Юго-Западный административный округ, Обручевский район, 37-й квартал"
608,93507,"город Москва, Ленинский проспект, дом 148",37.492949 55.655163,"Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
681,149899,"город Москва, проспект Мира, дом 5, корпус 1",37.631918 55.774219,"Россия, Москва, Центральный административный округ, Мещанский район"
682,69300,"город Москва, проспект Мира, дом 29",37.63252 55.779803,"Россия, Москва, Центральный административный округ, Мещанский район"
683,71378,"город Москва, проспект Мира, дом 29",37.63252 55.779803,"Россия, Москва, Центральный административный округ, Мещанский район"
684,146123,"город Москва, проспект Мира, дом 31",37.632592 55.780122,"Россия, Москва, Центральный административный округ, Мещанский район"
685,137644,"город Москва, проспект Мира, дом 40",37.633949 55.780203,"Россия, Москва, Центральный административный округ, Мещанский район"
686,128970,"город Москва, проспект Мира, дом 47, строение 1",37.633841 55.782982,"Россия, Москва, Центральный административный округ, Мещанский район"
687,150870,"город Москва, проспект Мира, дом 48, строение 6",37.634344 55.781813,"Россия, Москва, Центральный административный округ, Мещанский район"
688,111162,"город Москва, проспект Мира, дом 49",37.633859 55.783494,"Россия, Москва, Центральный административный округ, Мещанский район"
689,156605,"город Москва, проспект Мира, дом 49",37.633859 55.783494,"Россия, Москва, Центральный административный округ, Мещанский район"
690,26026,"город Москва, проспект Мира, дом 54",37.635098 55.783397,"Россия, Москва, Центральный административный округ, Мещанский район"
691,22476,"город Москва, проспект Мира, дом 56, строение 2",37.63562 55.784,"Россия, Москва, Центральный административный округ, Мещанский район"
692,26028,"город Москва, проспект Мира, дом 58",37.63606 55.785392,"Россия, Москва, Центральный административный округ, Мещанский район"
693,138708,"город Москва, проспект Мира, дом 70",37.635323 55.78812,"Россия, Москва, Центральный административный округ, Мещанский район"
694,111152,"город Москва, проспект Мира, дом 77, корпус 1",37.634299 55.789937,"Россия, Москва, Центральный административный округ, Мещанский район"
695,69478,"город Москва, проспект Мира, дом 77, корпус 2",37.633742 55.789932,"Россия, Москва, Центральный административный округ, Мещанский район"
696,58901,"город Москва, проспект Мира, дом 91, корпус 1",37.635278 55.805356,"Россия, Москва, Северо-Восточный административный округ, Останкинский район"
697,20284,"город Москва, проспект Мира, дом 91, корпус 3",37.635593 55.806894,"Россия, Москва, Северо-Восточный административный округ, Останкинский район"
698,20795,"город Москва, проспект Мира, дом 97",37.636392 55.809231,"Россия, Москва, Северо-Восточный административный округ, Останкинский район"
699,21800,"город Москва, проспект Мира, дом 97",37.636392 55.809231,"Россия, Москва, Северо-Восточный административный округ, Останкинский район"
700,142956,"город Москва, проспект Мира, дом 97",37.636392 55.809231,"Россия, Москва, Северо-Восточный административный округ, Останкинский район"
